Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Inference Time (ms),Memory (MB)
GMM,0.9890916303054343,1.0,0.8565217391304348,0.9227166276346604,0.2855057716369629,0.0011567068244987546,4.57763671875e-05
Isolation Forest,0.9096258098638107,0.4358747044917258,0.6413043478260869,0.5190007037297678,0.39331793785095215,0.004390308060344054,4.57763671875e-05
One-Class SVM,0.827416369165675,0.15868193503154943,0.2952173913043478,0.20641434868521052,8.950091361999512,0.18363462843057043,4.57763671875e-05
K-Means,0.8992463308211027,0.18885191347753744,0.09869565217391305,0.12964020559680184,0.14545035362243652,0.00015204188906608963,4.57763671875e-05
DBSCAN,0.9239719687954515,0.0,0.0,0.0,2.2651240825653076,0.07925765091632386,4.57763671875e-05
