index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,Length_diff,freq
0,144,1,14,0,4000,1,True,0.0,0.0,0,0,0.0,0,0,0.0
1,144,1,15,0,4000,1,True,2.000030040740967,2.000030040740967,1,0,0.0,0,0,0.49999248992756234
2,144,1,16,0,4000,1,True,2.0000598430633545,4.000089883804321,1,0,0.0,0,0,0.499985039681797
3,144,1,17,0,4000,1,True,1.9999091625213623,5.999999046325684,1,0,0.0,0,0,0.5000227104011372
4,144,1,18,0,4000,1,True,2.0000929832458496,8.000092029571533,1,0,0.0,0,0,0.49997675526922286
5,144,1,19,0,4000,1,True,2.000048875808716,10.000140905380247,1,0,0.0,0,0,0.49998778134641936
6,144,1,20,0,4000,1,True,1.9999711513519287,12.000112056732178,1,0,0.0,0,0,0.5000072122660499
7,144,1,21,0,4000,1,True,2.0000128746032715,14.00012493133545,1,0,0.0,0,0,0.49999678136990144
8,144,1,22,0,4000,1,True,2.0000290870666504,16.0001540184021,1,0,0.0,0,0,0.49999272833909303
9,144,1,23,0,4000,1,True,1.9999418258666992,18.0000958442688,1,0,0.0,0,0,0.5000145439563662
10,144,1,24,0,4000,1,True,2.000018119812012,20.00011396408081,1,0,0.0,0,0,0.4999954700880375
11,144,1,25,0,4000,1,True,2.000075101852417,22.000189065933228,1,0,0.0,0,0,0.4999812252419053
12,143,2,0,0,8,1,True,1.0082809925079346,23.00847005844116,-25,1,35054200650.0,0,-1,0.9917870191251578
13,143,2,1,0,16,1,True,0.0033459663391113,23.011816024780277,1,0,0.0,0,0,298.8673222174744
14,143,2,2,0,32,1,True,0.0083539485931396,23.020169973373413,1,0,0.0,0,0,119.70387282742156
15,143,2,3,0,64,1,True,0.0160079002380371,23.03617787361145,1,0,0.0,0,0,62.469154925382064
16,144,2,4,0,128,1,True,0.031944990158081,23.06812286376953,1,0,0.0,0,1,31.30381305649061
17,144,2,5,0,256,1,True,0.0640580654144287,23.13218092918396,1,0,0.0,0,0,15.610836723376226
18,143,3,0,0,8,1,True,0.0020151138305664,23.134196043014526,-5,1,125750184.0,0,-1,496.24988168480985
19,143,3,1,0,16,1,True,0.0039229393005371,23.138118982315063,1,0,0.0,0,0,254.9109031238611
20,143,3,2,0,32,1,True,0.0080728530883789,23.14619183540344,1,0,0.0,0,0,123.8719432959245
21,143,3,3,0,64,1,True,0.0159721374511718,23.16216397285461,1,0,0.0,0,0,62.60902794363536
22,144,3,4,0,128,1,True,0.0319578647613525,23.194121837615967,1,0,0.0,0,1,31.29120194567338
23,144,3,5,0,256,1,True,0.0640990734100341,23.258220911026,1,0,0.0,0,0,15.600849541195702
24,144,3,6,0,512,1,True,0.1279659271240234,23.386186838150024,1,0,0.0,0,0,7.814580197045805
25,144,3,7,0,1024,1,True,0.2559962272644043,23.64218306541443,1,0,0.0,0,0,3.9063075682250408
26,144,3,8,0,2048,1,True,0.5119519233703613,24.15413498878479,1,0,0.0,0,0,1.9533084150102316
27,144,3,9,0,4000,1,True,1.0240199565887451,25.17815494537353,1,0,0.0,0,0,0.976543468284777
28,144,3,10,0,4000,1,True,1.9999959468841555,27.17815089225769,1,0,0.0,0,0,0.5000010132810147
29,144,3,11,0,4000,1,True,2.000086069107056,29.178236961364743,1,0,0.0,0,0,0.4999784836491825
30,144,3,12,0,4000,1,True,2.0000219345092773,31.178258895874023,1,0,0.0,0,0,0.49999451643282034
31,144,3,13,0,4000,1,True,2.0000171661376958,33.17827606201172,1,0,0.0,0,0,0.49999570850241026
32,144,3,14,0,4000,1,True,2.0000159740448,35.17829203605652,1,0,0.0,0,0,0.49999600652069603
33,144,3,15,0,4000,1,True,2.000020980834961,37.17831301689148,1,0,0.0,0,0,0.49999475484628364
34,144,3,16,0,4000,1,True,1.9999589920043943,39.178272008895874,1,0,0.0,0,0,0.5000102522091127
35,144,3,17,0,4000,1,True,2.0000319480896,41.178303956985474,1,0,0.0,0,0,0.499992013105183
36,144,3,18,0,4000,1,True,1.9999630451202397,43.17826700210571,1,0,0.0,0,0,0.5000092388906511
37,144,3,19,0,4000,1,True,2.0001089572906494,45.17837595939636,1,0,0.0,0,0,0.4999727621612182
38,144,3,20,0,4000,1,True,1.99993896484375,47.17831492424011,1,0,0.0,0,0,0.500015259254738
39,144,3,21,0,4000,1,True,2.0000150203704834,49.1783299446106,1,0,0.0,0,0,0.49999624493558037
40,144,3,22,0,4000,1,True,2.0000250339508057,51.1783549785614,1,0,0.0,0,0,0.4999937415906349
41,144,3,23,0,4000,1,True,2.0002710819244385,53.17862606048584,1,0,0.0,0,0,0.4999322387033217
42,144,3,24,0,4000,1,True,1.999783992767334,55.17841005325317,1,0,0.0,0,0,0.500054007641187
43,144,3,25,0,4000,1,True,2.0000269412994385,57.17843699455261,1,0,0.0,0,0,0.49999326476586836
44,144,3,26,0,4000,1,True,1.9999840259552,59.17842102050781,1,0,0.0,0,0,0.5000039935430965
45,144,3,27,0,4000,1,True,2.000041961669922,61.17846298217773,1,0,0.0,0,0,0.49998950980261264
46,144,3,28,0,4000,1,True,2.0000200271606445,63.17848300933838,1,0,0.0,0,0,0.49999499325997426
47,144,3,29,0,4000,1,True,2.0000360012054443,65.17851901054382,1,0,0.0,0,0,0.4999909998606468
48,144,3,30,0,4000,1,True,2.000027894973755,67.17854690551758,1,0,0.0,0,0,0.49999302635382614
49,144,3,31,0,4000,1,True,2.000030040740967,69.17857694625854,1,0,0.0,0,0,0.49999248992756234
