Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Inference Time (ms),Memory (MB)
GMM,0.6562541319582177,0.16530291759649557,0.8695652173913043,0.2777970692409195,0.10862994194030762,0.00015552532857299466,4.57763671875e-05
K-Means,0.9181872272907576,0.3870967741935484,0.13043478260869565,0.1951219512195122,5.484973430633545,3.485803832362194e-05,4.57763671875e-05
Isolation Forest,0.6717241835250561,0.048941955313866886,0.18,0.07695882516962543,0.2830977439880371,0.0030940666284476675,4.57763671875e-05
One-Class SVM,0.6030675657807748,0.024490595611285266,0.10869565217391304,0.03997441637352095,3.590876817703247,0.12736082171599386,4.57763671875e-05
DBSCAN,0.9239719687954515,0.0,0.0,0.0,137.46667504310608,1.118578884662435,4.57763671875e-05
