Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Inference Time (ms),Memory (MB)
GMM,0.26203226232976334,0.08831873689404218,0.9339130434782609,0.161376357011382,0.12363505363464355,0.0004088312769699046,4.57763671875e-05
Isolation Forest,0.7676517255057517,0.0362816238478133,0.08043478260869565,0.0500067576699554,0.3844573497772217,0.003830648581376076,4.57763671875e-05
One-Class SVM,0.6808144916038609,0.02208939708939709,0.07391304347826087,0.034013605442176874,4.264660358428955,0.1585983290616189,4.57763671875e-05
K-Means,0.34341531138437126,0.015984126109243234,0.12608695652173912,0.028371569730470086,7.1420814990997314,0.00011054797729266221,4.57763671875e-05
