Attack Type,Feature,Normal Mean,Normal Std,Attack Mean,Attack Std,Mean Difference,P-value,Significant (p<0.01)
Injection,sqNum,2340.5780478998677,2703.1726814199014,6934.04,4875.771139051139,4593.461952100132,2.5300121862907837e-26,True
Injection,sqNum_delta,-46.42285920751536,721.1202561254437,3904.51,5328.821018231278,3950.932859207516,4.42491653177302e-131,True
Injection,byte_rate,2559.126308937858,9806.197045754581,730.5832537462483,3819.285956678322,1828.5430551916097,2.585753427086653e-10,True
Injection,stNum_delta,-12.26496447067325,128.89134357413425,1020.36,595.0664935258678,1032.6249644706734,0.0,True
Injection,stNum,51.08340353833193,62.601423917690404,1021.36,595.0664935258678,970.2765964616681,3.7490262000023974e-69,True
Injection,timeAllowedtoLive,2430.809965098086,1397.6883319247931,3000.0,1005.037815259212,569.1900349019138,0.00021573495653765687,True
Injection,time_since_last_event,260.85998847160636,457.9287133439445,0.0,0.0,260.85998847160636,9.238436428766304e-62,True
Injection,msgs_since_last_event,218.04007702491273,400.611547686067,0.0,0.0,218.04007702491273,8.669961347138432e-62,True
Injection,event_msg_rank,218.04007702491273,400.611547686067,0.0,0.0,218.04007702491273,8.669961347138432e-62,True
Injection,event_id,174.56011553736911,102.81721422251113,200.0,153.52096556720477,25.439884462630886,0.3716609168598921,False
Injection,Time since reference or first frame,838.2623090614996,476.9805046893505,857.62458087,464.22360452557245,19.362271808500395,0.7073756878694181,False
Injection,Epoch Time,1702753514.3765562,476.98050468999116,1702753533.7388277,464.2236045176977,19.362271547317505,0.7073756878694181,False
Injection,base_time,1702753514.3765562,476.98050468999116,1702753533.7388277,464.2236045176977,19.362271547317505,0.7073756878694181,False
Injection,msg_rate,15.09906891908672,57.545331630212274,4.96794843139572,26.15932505905841,10.131120487691,1.0104141606280161e-11,True
Injection,Length,154.7062221687327,13.980813802765972,147.91,2.040474296220208,6.796222168732697,0.8481286101641439,False
Injection,Frame length on the wire,154.7062221687327,13.980813802765972,147.91,2.040474296220208,6.796222168732697,0.8481286101641439,False
Injection,Frame length stored into the capture file,154.7062221687327,13.980813802765972,147.91,2.040474296220208,6.796222168732697,0.8481286101641439,False
Injection,event_rate_spike,0.14881431098394235,4.5854492093094885,4.96794843139572,26.15932505905841,4.8191341204117775,0.0,True
Injection,boolean_1,0.0,0.0,1.0,0.0,1.0,0.0,True
Injection,stNum_jump_gt1,0.0,0.0,1.0,0.0,1.0,0.0,True
Injection,sq_reset_violation,0.012035142616440005,0.1090492051562236,1.0,0.0,0.98796485738356,0.0,True
Injection,ttl_margin,1.2376323004824477,0.8324153504051545,2.2146162152290345,0.8977658344193983,0.9769839147465869,9.358975763572479e-24,True
Injection,sqNum_jump,0.03610542784932001,0.18656370194297653,1.0,0.0,0.96389457215068,0.0,True
Injection,stNum_change,0.03610542784932001,0.18656370194297653,1.0,0.0,0.96389457215068,0.0,True
Injection,st_change,0.03610542784932001,0.18656370194297653,1.0,0.0,0.96389457215068,0.0,True
Injection,t_change,0.03613151872817054,0.1866285802850886,1.0,0.0,0.9638684812718294,0.0,True
Injection,status_change_violation_on_heartbeat,0.9638684812718294,0.1866285802850886,0.0,0.0,0.9638684812718294,0.0,True
Injection,sq_inc_expected,0.9631724635936936,0.188349511547551,0.0,0.0,0.9631724635936936,0.0,True
Injection,length_delta,-0.01095989401421173,0.2454114313044051,0.94,0.34289321599553063,0.9509598940142117,6.008583776079906e-265,True
Injection,heartbeat_within_tol,0.7638705018654471,0.42472822949357186,0.05,0.2190429135575903,0.7138705018654471,3.269542450744924e-61,True
Injection,heartbeat_interval_error,0.09256815748962455,0.3056044323687019,0.7146162152290344,0.5312380373122629,0.6220480577394099,1.0825424894395913e-50,True
Injection,inter_arrival,1.192525473815999,0.6977475739943683,0.7853837847709656,0.5133173639908523,0.40714168904503334,1.0104141606280161e-11,True
Injection,ttl_half,1.2154049825490432,0.6988441659623966,1.5,0.502518907629606,0.28459501745095683,0.00021573495653765687,True
Injection,Time delta from previous displayed frame,0.1969232014682874,0.2627076538701237,0.28397374000000003,0.22971898661536072,0.08705053853171263,7.400469425209157e-10,True
Injection,ttl_violation,0.02407028523288001,0.1532766587125822,0.0,0.0,0.02407028523288001,0.11639789242238328,False
Injection,sq_reset_on_st_change,0.02407028523288001,0.1532766587125822,0.0,0.0,0.02407028523288001,0.11639789242238328,False
Injection,sq_reset_expected,0.02407028523288001,0.1532766587125822,0.0,0.0,0.02407028523288001,0.11639789242238328,False
Injection,sq_reset_without_st_change,0.02407028523288001,0.1532766587125822,0.0,0.0,0.02407028523288001,0.11639789242238328,False
Injection,jitter_rolling_std,0.2699063411758453,0.34063785003292707,0.27349181878784307,0.19545781534873574,0.0035854776119977894,4.673433216233798e-05,True
Injection,sq_inc_violation_when_no_event,0.0007221085569864003,0.026863990223157993,0.0,0.0,0.0007221085569864003,0.7884278358509179,False
Injection,Time delta from previous captured frame,8.988699001083164e-05,8.422114126493277e-05,9.773999999999998e-05,8.628864176106666e-05,7.85300998916834e-06,0.3821354450239367,False
Injection,Time shift for this packet,0.0,0.0,0.0,0.0,0.0,1.0,False
Injection,boolean_2,0.0,0.0,0.0,0.0,0.0,1.0,False
Injection,boolean_3,0.0,0.0,0.0,0.0,0.0,1.0,False
Injection,status_bit_change,1.0,0.0,1.0,0.0,0.0,1.0,False
Injection,t_st_consistency_violation,0.0,0.0,0.0,0.0,0.0,1.0,False
Injection,status_change_missing_on_event,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,byte_rate,2625.13423219166,9614.28069753365,10521.38733961452,8878.729320258926,7896.253107422861,5.427053170963134e-41,True
Masquerade,timeAllowedtoLive,2513.6556710347945,1365.4353207217168,537.52,871.4103798446575,1976.1356710347945,2.349617925422968e-43,True
Masquerade,msg_rate,16.867611932357605,61.38509245619447,72.1061417681243,60.55447280055431,55.2385298357667,1.9202751405262515e-37,True
Masquerade,sqNum,48.129537580960985,46.01218546057934,1.5,1.1236664374387368,46.629537580960985,1.0127394752078817e-53,True
Masquerade,time_since_last_event,41.55881727231987,42.17768775640199,0.022300238609313964,0.019005343863212152,41.53651703371056,1.743574355398452e-48,True
Masquerade,Time since reference or first frame,678.8392357306823,392.38385648892387,638.3516766500001,344.1204132791339,40.48755908068222,0.2980702236835767,False
Masquerade,Epoch Time,1703296615.6743085,392.3838564891867,1703296575.18675,344.1204132871057,40.48755860328674,0.2980702236835767,False
Masquerade,base_time,1703296615.6743085,392.3838564891867,1703296575.18675,344.1204132871057,40.48755860328674,0.2980702236835767,False
Masquerade,msgs_since_last_event,36.11673444795903,36.48848504179365,1.5,1.1236664374387368,34.61673444795903,1.3745062641811263e-51,True
Masquerade,event_msg_rank,36.11673444795903,36.48848504179365,1.5,1.1236664374387368,34.61673444795903,1.3745062641811263e-51,True
Masquerade,stNum,50.28046392528995,44.93891903612556,18.96,8.809911773368986,31.32046392528995,3.2229155231826025e-14,True
Masquerade,sqNum_delta,0.21408110960349766,11.270952909893602,-15.8,36.29731325449515,16.0140811096035,7.522054393030045e-38,True
Masquerade,event_rate_spike,1.1469341191021714,20.09392047860778,17.15362025100501,59.45358327864494,16.00668613190284,1.4395866392205167e-35,True
Masquerade,event_id,98.3184214490134,61.38780512296496,106.68,88.74374412437263,8.361578550986607,0.9713489355861783,False
Masquerade,Length,151.76668172917607,13.769623428986403,145.34,2.2883984960595645,6.426681729176067,0.019961473205693213,False
Masquerade,Frame length on the wire,151.76668172917607,13.769623428986403,145.34,2.2883984960595645,6.426681729176067,0.019961473205693213,False
Masquerade,Frame length stored into the capture file,151.76668172917607,13.769623428986403,145.34,2.2883984960595645,6.426681729176067,0.019961473205693213,False
Masquerade,inter_arrival,1.234105053951563,0.6915687541040257,0.13558176755905152,0.32410926333886636,1.0985232863925114,1.9202751405262515e-37,True
Masquerade,ttl_half,1.2568278355173972,0.6827176603608585,0.26876,0.43570518992232865,0.9880678355173972,2.349617925422968e-43,True
Masquerade,boolean_1,0.04194260485651214,0.200480161676199,1.0,0.0,0.9580573951434879,0.0,True
