,attack_type,num_samples,num_attack,attack_ratio,stNum_mean_normal,stNum_mean_attack,sqNum_mean_normal,sqNum_mean_attack,ttl_mean_normal,ttl_mean_attack,length_mean_normal,length_mean_attack,inter_arrival_mean_normal,inter_arrival_mean_attack,msg_rate_mean_normal,msg_rate_mean_attack,byte_rate_mean_normal,byte_rate_mean_attack,ttl_violation_mean_normal,ttl_violation_mean_attack,sqNum_jump_mean_normal,sqNum_jump_mean_attack,stNum_change_mean_normal,stNum_change_mean_attack,heartbeat_interval_error_mean_normal,heartbeat_interval_error_mean_attack,heartbeat_within_tol_mean_normal,heartbeat_within_tol_mean_attack,sq_reset_violation_mean_normal,sq_reset_violation_mean_attack,t_st_consistency_violation_mean_normal,t_st_consistency_violation_mean_attack,status_change_missing_on_event_mean_normal,status_change_missing_on_event_mean_attack,status_change_violation_on_heartbeat_mean_normal,status_change_violation_on_heartbeat_mean_attack
replay,replay,10095,100,0.009905894006934125,111.67053526763382,73.56,41.632516258129066,0.0,2197.3306653326663,10.0,154.24812406203102,145.35,1.0635153472047632,0.7344206070899963,25.64118260486185,3.9673097033880698,4087.716038282147,582.5620837479483,0.03601800900450225,1.0,0.049224612306153076,1.0,0.049224612306153076,1.0,0.12300803725379811,0.7294206070899963,0.6835417708854428,0.0,0.010005002501250625,0.0,0.0,0.0,0.0,0.0,0.9507458204024427,0.0
masquerade,masquerade,6739,100,0.014838996883810655,50.28046392528995,18.96,48.129537580960985,1.5,2513.6556710347945,537.52,151.76668172917607,145.34,1.234105053951563,0.13558176755905152,16.867611932357605,72.1061417681243,2625.13423219166,10521.38733961452,0.022443139026961892,0.29,0.02937189335743335,0.25,0.02937189335743335,0.25,0.07254620688737616,0.38117694124221807,0.8123211327007079,0.36,0.003765627353517096,0.0,0.0,0.0,0.0,0.0,0.9706015377657169,0.75
injection,injection,8409,100,0.011892020454275181,51.08340353833193,1021.36,2340.5780478998677,6934.04,2430.809965098086,3000.0,154.7062221687327,147.91,1.192525473815999,0.7853837847709656,15.099068919086719,4.96794843139572,2559.1263089378576,730.5832537462483,0.02407028523288001,0.0,0.03610542784932001,1.0,0.03610542784932001,1.0,0.09256815748962455,0.7146162152290344,0.7638705018654471,0.05,0.012035142616440005,1.0,0.0,0.0,0.0,0.0,0.9638684812718294,0.0
poisoning,poisoning,5015,2000,0.3988035892323031,27.25804311774461,41.0,407.30845771144277,499.5,3000.3316749585406,4000.0,150.73366500829187,167.872,1.4990670028102084,0.0012419160604476929,0.7511101786780885,749275.7522359566,111.80078765645014,125784946.7074963,0.0,0.0,0.0006633499170812604,0.001,0.0006633499170812604,0.001,0.0009114561622901072,1.9987580839395522,0.997346600331675,0.0,0.0006633499170812604,0.0,0.0,0.0,0.0,0.0,0.9993353273512795,0.999
