,timeAllowedtoLive,Time,stNum,sqNum,Length,bit-string
count,60510.0,60510.0,60510.0,60510.0,60510.0,24220.0
mean,2523.936671624525,1702951920.469613,82.26617088084615,900.8683688646505,154.34371178317633,70.91659785301404
std,1414.031920600538,194725.53124770088,98.85393266081326,2085.8743395616034,13.930988603711178,16.758266219096097
min,8.0,1702752676.872736,1.0,0.0,136.0,40.0
25%,2000.0,1702755814.9524136,10.0,10.0,141.0,80.0
50%,2000.0,1702906216.176777,61.0,56.0,149.0,80.0
75%,4000.0,1702928229.503293,127.0,426.0,168.0,80.0
max,4000.0,1703300092.617245,1985.0,14751.0,176.0,80.0
